College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"KANYAKUMARI GOVT MEDICAL COLLEGE, KANYAKUMARI (Id: C-45623)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
Kanya Mahavidyalaya (Id: C-17311),Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
"Kanya Mahavidyalaya, Bhoor (Id: C-13370)",Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
Kanya Maha Vidyalaya Jalandhar (Id: C-27898),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Kanya Mahavidyalaya, Kharkhoda (Id: C-28176)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Kanya Mahavidyalaya, Shivaji Road, Shivaji Nagar, MIRAJ (Id: C-11101)",Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Kapadia N. M. M. S. Arts & The S. N. S. B. Commerce College (Id: C-5843),Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
K.A.PANDHI LAW COLLEGE-RAJKOT (Id: C-846),Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
KAPI College of Education (Id: C-14501),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Kapili College (Id: C-26442),Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Kapi Womens College of Education (Id: C-14551),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
KAPOL Vidyanidhi Trusts Kopal Vidyanidhi College of Hotel Management at Adijacent to Poisar Gymkhana Kamala Vihar Sports Club Lane Mahavir Nagar Kandivali(W) Mumbai 400 067 (Id: C-34096),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"Kaptipada College, Kaptipada (Id: C-10935)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Kaptipada College, Nuasahi (Id: C-10914)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
"K.A.P. VISWANATHAM GOVERNMENT MEDICAL COLLEGE, TIRUCHIRAPALLI (Id: C-45684)",No,No,No,No,No,No,No,No,No,No,No,No,No
"KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT, KARAIKUDI (Id: C-45319)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
KARAMAT HUSAIN MUSLIM GIRLS DEGREE COLLEGE (Id: C-12787),Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"Karamsad Kelvani Mandel B.Ed. College, Karamsad (Id: C-1225)",Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
"Karamveer College, Mul (Id: C-18369)",Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
"Karam Vidya Mandir Shikshan Sansthan, Alwar (Id: C-38741)",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"Karamvir Dadasaheb Deotale Arts Commerce College, Charmoshi (Id: C-18347)",Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan (Id: C-18630)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karanam Padmavathi Memorial Degree & P.G College (Id: C-25489),Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
"Karanjia College, Karanjia (Id: C-10948)",Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
"Karavali College, NH-17, Near Kottara Chowki Junction, Bangra Kuloor, Mangalore-13 (Id: C-17021)",No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"Karavali College of Education, NH17, Near Kottara Chowki Junction, Mangalore-13 (Id: C-16820)",Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Karavali College of Nursing (Id: C-40377),No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
Karavali College of Pharmacy (Id: C-40451),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Karavali Institute of Technology, MANGALORE (Id: C-1380)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"KARGIL SAHEED MAHAVIDYALAYA, JASWANT NAGAR, (Id: C-12196)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARGIL SAHID LALMANI YADAV MAHAVIDYALAYA, LOHARI, KARCHANA, (Id: C-12316)",Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
"Karilopatna College, Karilopatna,Kendrapara (Id: C-39831)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Karimala Sai Degree College, 6-60, Beet Bazar, Luxettipet (Id: C-27475)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
Karim City College Jamshedpur (Id: C-43550),No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
Karimpur Pannadevi College (Id: C-44056),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
"Karma Mata Vanijya & Vigyan Mahavidyalaya, Jamgaon, Durg (Id: C-21722)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Karmashree Hiteswar Saikia College (Id: C-17109),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
"Karmaveer Abasaheb N M Sonawane Arts, Commerce & Science College, Satana, Tal. Baglan, District Nashik (Id: C-44587)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Karmaveer Bahurao Patil Institute of Management Studies & Research, (Id: C-11094)",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Karmaveer Bhaurao Patil College of Engineering and Polytechnic (Id: C-11018),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"Karmaveer Kakasaheb Wagh Education Societys Arts, Commerce, Science & Computer Science College, Hirabai Haridas Vidyanagari, Adgaon Road, Panchvati, Nashik 422003 (Id: C-41802)",Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
"Karmaveer Mamasaheb Jagdale Mahavidyalaya Arts, Science & Commerce College, Washi. (Id: C-34409)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Karmaveer Pratishthan's College of Social Work,Ram Nagar (Id: C-34458)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Karmaveer Shankarrao Kale Education Society's Sau. Sushilamai Kale Arts,Commerce & Science College, Gautamnagar, Tal.Kopargaon,Dist.Ahmednagar (Id: C-41591)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Karmaveer Shikshan Prasarak Mandal's College of Education for Women (Id: C-44143),No,No,No,No,No,No,No,No,No,No,No,No,No
"KARMA YOGI DEGREE COLLEGE, MALIHAMAU, (Id: C-12625)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
"Karmela Rani Training College, Kollam (Id: C-43658)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"Karmel Vidya Bhavan Trust CHRIST College, Pune, Arts Science and Commerce College, Vadgaon Sheri, Pune 14 (Id: C-41447)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
"Karmveer Bhaurao Patil College, URUN-ISLAMPUR (Id: C-11036)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
KARMVEER BHAURAO PATIL MAHAVIDYALYA PANDHARPUR-413 304. DIST-SOLAPUR (Id: C-15798),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
"Karmveer Hire Arts, Commerce Science & Education College, GARGOTI (Id: C-11244)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Karmveer R.S.Wagh Shaikshanik & Ayogya Sansthas College of Arts,Commerce & Science, Rajaramnagar, Post Materewadi, Tal.Dindori, Dist. Nashik (Id: C-41314)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Karmyogi Babasaheb Apotikar Adhyapak & Anusandhan Mahavidyalaya, Apoti (Khu.)Tq.:-Akola (Id: C-43025)",Yes,No,No,No,No,No,No,No,No,No,No,No,No
"KARMYOGI ENGINEERING COLLEGE SHELVE TAL.PANDHAPUR, DIST-SOLAPUR (Id: C-15755)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARMYOGI RAMSOORAT TRIPATHI MAHAVIDYALAYA, KRISHNA NAGAR, SISWA, AMBEDKAR NAGAR (Id: C-42283)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Karmyogi Tulsiram Pawar Mahavidyalaya Hadolti,Tq. Ahemadpur (Id: C-7463)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Karnala Sports Academys KSAs Barns college of Arts Science & Commerce At plot no.7 Sector 16 Behind HOC Colony New Panvel(W (Id: C-33991),Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
"Karnal Institute of Technology & Management, (KITM) (Id: C-10885)",Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"KARNAL JAGANNATH SINGH MAHAVIDYALAYA, PEETHAPUR, SARAIYA, BHITI, AMBEDKAR NAGAR (Id: C-42638)",Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"Karnataka Arts and Commerce College, Dharwad (Id: C-35702)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARNATAKAA TEACHERS EDU., COLLEGE, INDI (Id: C-9934)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No
Karnataka Ayurvedic Medical College (Id: C-40272),No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"Karnataka Chitrakala Parishath,Art Complex, Kumarakrupa Rd,Bangalore-01 (Autonomous) (Id: C-21196)",Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
"Karnataka College of Commerce, No.33/2, Tirumenahalli, Hegadenagar Main Road, Jakkur Post, Yelahanka Hobli, Bangalore-64. (Id: C-20798)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"Karnataka College of Management, No.33/2, Thirumenahalli, Hegadenagara, Bangalore -560 064. (Id: C-20721)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Karnataka College of Nursing (Id: C-40251),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
Karnataka College of Pharmacy (Id: C-40536),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Karnataka College of Pharmacy (Id: C-40596),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"Karnataka Education College, Dharwad (Id: C-35461)",No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
"Karnataka Gadinadu Educational Trust, Nippani (Id: C-26736)",No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
Karnataka Institute of Medical Sciences (Id: C-40444),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Karnataka Lalitakala Mahavidyalaya, Gokak (Id: C-26692)",Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No
"Karnataka Law College, Dharwad (Id: C-35528)",No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
"Karnataka Law College, Gulbarga. (Id: C-9781)",No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No
"Karnataka Law Society, B.B.A College, Udyaoga vidya Nagar, Dandeli Road Haliyal Dt- Karawar (Id: C-35559)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
"Karnataka Law Society, HALIYAL Dt: N.K. (Id: C-1282)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Karnataka Music College, Dharwad (Id: C-35520)",Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
"Karnataka National Education Trust, Bidar (Id: C-26691)",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
"Karnataka Sanga, Mandya (Id: C-26765)",No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
Karnataka Sanghas Manjunatha College of Commerce Manjunatha College Building anchagaon Kambalpada Thakurli Kalyan Road Thakurli East Thane 421 201 (Id: C-33710),Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"Karnataka Science College, Dharwad (Id: C-35555)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
"Karnataka Theological Research Centre, Mangalore (Id: C-26666)",Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No
"Karnatak law Socity, B.C.A College Udyaoga vidya Nagar, Dandeli Road Haliyal Dt- Karawar (Id: C-35482)",Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
Karnavati School of Dentistry (Id: C-5911),No,No,No,No,No,No,No,No,No,No,No,No,No
Karpagam College of Education (Id: C-14645),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karpagam College of Engineering (Id: C-37044),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARPAGAM COLLEGE OF PHARMACY, COIMBATORE (Id: C-45543)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
"KARPAGAM FACULTY OF MEDICAL SCIENCES & RESEARCH, COIMBATORE (Id: C-47560)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karpagam Institute of Technology (Id: C-37035),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"KARPAGAM NURSING COLLEGE, COIMBATORE (Id: C-45547)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
"KARPAGA VINAYAGA COLLAGE OF NURSING, KANCHEEPURAM (Id: C-45612)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karpaga Vinayaga College of Engineering and Technology (Id: C-16599),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARPAGA VINAYAGA COLLEGE OF NURSING, PUDUKKOTTAI (Id: C-45705)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karpaga Vinayaga Institute of Management (Id: C-24980),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARPAGA VINAYAGA INSTITUTE OF MEDICAL SCIENCES AND RESEARCH CENTRE, KANCHEEPURAM (Id: C-45816)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARPAGA VINYAKA INSTITUTE OF DENTAL SCIENCES, KANCHEEPURAM (Id: C-45607)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARUNA COLLEGE OF NURSING, VILAYODI, CHITTUR (Id: C-8084)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"KARUNA MEDICAL COLLEGE, CHITTUR (Id: C-43276)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Karuna P.G. College of Business Management (Id: C-25862),Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Karuna P.G College of Computers Applications (Id: C-25870),Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Karuna Shikshan Prashikshan Mahavidhyalaya (Id: C-36901),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Karuna TT College (Id: C-26562),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Karuppannan Mariappan College (Id: C-41084),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
Karur College of Engineering (Id: C-36982),Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
"Karve Insititute of Social Service, Hillside, Karvenagar, Pune 411052 (Id: C-41409)",Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
"Kasegaon Education Society Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya,Islampur (Id: C-11180)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Kashav College of Education Tikamgarh (Id: C-19146),Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"Kashi Gurukul Sanskrit Mahavidyalaya, Dhoopchandi (Id: C-20159)",Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
Kashi Prasad College (Id: C-22560),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kashipur Michael Madhusudan Mahavidyalaya (Id: C-44705),Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Kashi Raj Rajakiya Sanskrit Mahavidyalaya, Aurai, Sanpur (Id: C-19970)",Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No
"KASHI RAM MEMORIAL COLLEGE,, MANPUR, BAHERI (Id: C-45132)",Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
"KASHMIR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45968)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
KASHMIR LAW COLLEGE (Id: C-46541),Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No
KASHMIR TIBBIA COLLEGE (Id: C-46527),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"Kasmade Parisar Vikas Mandals College of B.Ed. Co Ed Education, A/p. Vasaka, Vithewadi Lohaner, Tal. Devala, Dist.Nashik (Id: C-41962)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
Kasthooribha Gandhi College of Education (Id: C-14671),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kasthurba College for Women (Id: C-6504),Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
Kasthurba Gandhi Kanya Gurukulam (Id: C-14951),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
KASTUBAI COLLEGE OF EDUCATION ASHOK CHWOK SOLAPUR DIST-SOLAPUR 413 006 MAHARASHTRA (Id: C-15787),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"Kasturba College of Nursing, Wardha (P.C.B.Sc.) (Id: C-14031)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes
Kasturba Gandhi Degree College for Women (Id: C-26105),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
KASTURBA GANDHI NURSING COLLEGE (Id: C-47763),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"Kasturba Girls College, Near Moti Masjid, Car Parking, Bhopal (Id: C-35340)",No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Kasturba Gram Sansthan, Kasturba Gram, Indore (Id: C-29783)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
"Kasturba Health Societys Kasturba Nursing (B.Sc.) College, Sewagram, Tal. & Dist. Wardha (Id: C-13831)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
"Kasturba Medical College, Mangalore (Id: C-7251)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Kasturba Medical College, Manipal (Id: C-7242)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Kasturba Nursing College, BHEL, Bhopal (Id: C-35297)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Kasturba Teachers College Borgaon Meghe (Id: C-18891),Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Kasturiba Gandhi Jal (Spain) College of Education for Women (Id: C-14508),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
Kasturibai College of Education (Id: C-37209),Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
Kasturi College of Education (Id: C-14908),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
"Kasturi Education Sanstha's Arts & Commerce College, Shikrapur, Tal.Shirur, Dist Pune (Id: C-41728)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
"Kasturi Education Sanstha's College of Education, Shikrapur, Tal.Shirur, Dist Pune (Id: C-42119)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Kasturi Education Sanstha's College of Pharmacy, Shikrapur, Tal.Shirur Dist Pune (Id: C-41964)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kasturi Ram College of Higher Education (Id: C-32885),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"Kasturi Shikshan Sansthas Institute of Management, A/p. Shikrapur, Tal. Shirur, Dist. Pune 412208 (Id: C-41550)",Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No
"Kaswan Kanya College, Tibbi (Id: C-40746)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
Kathir College of Education (Id: C-14493),Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Kathir College of Engineering (Id: C-36988),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Katigorah A Degree College (Id: C-26395),Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
"Katihar Medical College, Katihar (Id: C-29573)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"KATIYARI DEGREE COLLEGE, HARPALPUR, (Id: C-12128)",Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Katni Arts & Commerce College, Katni (Id: C-33388)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
"KATRAS COLLEGE, KATRASGARH, DHANBAD (Id: C-44424)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
"Katrina Moller College of Nursing, Arogyavaram (Id: C-30675)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Katriya Institute of Excellence in Hotel Management (Id: C-26188),No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Katta Panchkroshi Shikshan Prasarak Mandass Dr Waradkar College of Arts & Commerce Katta Tal Malvan Dist Sindhudurg (Id: C-34035),Yes,No,No,No,No,No,No,No,No,No,No,No,No
Katwa College (Id: C-44651),Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes
KAUMUDI DEGREE COLLEGE (Id: C-24926),Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
KAUNSAR COLLEGE OF COMPUTER SCIENCE (Id: C-46537),Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
"Kaushal Kishor Tej Pratap Snatak Mahavidyalaya, Bagapar, Maharajganj (Id: C-14064)",Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
KAUSHALYA DEVI WOMEN COLLEGE KORCHI (Id: C-46505),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
"Kaushalya Mahavidyalaya, Dilavarpur, Madiyahu Jaunpur (Id: C-15994)",Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes
"KAUSHAMBI MAHAVIDYALAYA, TILHAPUR MORH, (Id: C-12270)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
"KAUSHAMBI VIDHI MAHAVIDYALAYA, TILHAPUR MOD, (Id: C-12174)",Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
"Kaushik College of Engineering, Gambhiram, Anandpuram Mandal, PIN-531163 (CC-W2) (Id: C-18077)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"KAUSHLENDRA MAHAVIDYALAYA, MANGARH, KUNDA, PRATAPGARH (Id: C-42580)",Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
KAUTILYA ACADEMY OF MANAGEMENT STUDIES (Id: C-45174),Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
"Kautilya Institute of Technology & Engineering,Jaipur (Id: C-25159)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Kautilya Mahila T.T. College,Rawatbhata Road, Nayagaon, Kota (Id: C-19396)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
"Kaveri First Grade College, APS School Premises, Hosur Road, Anekal, Bangalore Dist(10-11) (Id: C-20768)",Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
"Kaveri First Grade College, No.354, F Block, Sahakaranagar, Bangalore -92 (Id: C-21150)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
Kaveripakkam college of Arts and Science CollegeKaveripakkam-632 508 (Id: C-36353),Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
"Kavery College, Pandanda Subbamma Campus, P.B. No.17, Virajpet-571218 (Id: C-17014)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"KAVERY MEDICAL CENTRE AND HOSPITALS, TRICHY (Id: C-45743)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"Kavi Kulguru Institute of Technology and Science, Ramtek (Id: C-18777)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kavishri Botadkar Commerce College (Id: C-7139),Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
"Kavitha Degree College, Upendrayya Nagar, Khammam (Id: C-27531)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Kavitha Memorial Degree College, NST Road, Khammam (Id: C-27461)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
