College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"066 SABAR INSTITUTE OF TECH. FOR GIRLS, TAJPUR, SABARKANTHA (Id: C-136)",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"067 SAL INSTITUTE OF TECH. & ENGG. RESEARCH, AHMEDABAD (Id: C-75)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"068 SARDAR PATEL INSTITUTE OF TECH., PILUDARA, MEHSANA (Id: C-145)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"075 SHANKERSINH VAGHELA BAPU INSTITUTE OF TECH., UNAVA, GANDHINAGAR (Id: C-266)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"076 Shri SWAMI ATMANAND SARASWATI INSTITUTE OF TECH., SURAT (Id: C-97)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"077 SILVER OAK COLLEGE OF ENGG., & TECH., AHMEDABAD (Id: C-406)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"078 Smt. S.R. PATEL ENGG. COLLEGE, DABHI, UNJHA (Id: C-127)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"079 TAKSHSHILA COLLEGE OF ENGG. & TECH., VILLAGE ISHWARIYA, RAJKOT (Id: C-335)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
"080 VADODARA INSTITUTE OF ENGG., KOTAMBI, WAGHODIYA (Id: C-320)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"081 VENUS INTERNATIONAL COLLEGE OF TECH., BHOYAN RATHOD, GANDHINAGAR (Id: C-47)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"082 Dr. Jivraj Mehta Institute of Technology, Anand (Id: C-140)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
"083 Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandal`s Group of Institutions-Engg, Junagadh (Id: C-275)",Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"084 Faculty of Engg., Tech. & Research (FETR), ISROLI (AFWA), Bardoli (Id: C-20)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"085 HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, Kera (Id: C-392)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"086 Laxmi Institute of Technology, Valsad (Id: C-308)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"087 PARUL INSTITUTE OF TECH., LIMDA, VAGHODIA (Id: C-426)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"088 SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY, Himatnagar (Id: C-41)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
"089 Shri Labhubhai Trivedi Institute of Engineering And Technology, Rajkot (Id: C-162)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"090 Tatva Institute of Technological Studies, Modasa (Id: C-296)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"091 SHRI SATSANGI SAKETDHAM `RAM ASHRAM` GROUP OF INSTITUTIONS, Vadasma (Id: C-239)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
092 VEERAYATAN GROUP OF INSTITUTIONS FACULTY OF ENGG. (Id: C-55),Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"093 ARRDKETA INSTITUTE OF TECHNOLOGY RASHIWAD, SABARKANTHA (Id: C-45061)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"095 INSTITUTE OF TECHNOLOGY AND MANAGEMENT UNIVERSE VAGHODIA, VADODARA (Id: C-45066)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"096 Marwadi Education Foundations Group of Institutions (SFI),RAJKOT (Id: C-102)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
