SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1112,"Bapuji Institute of Engineering and Technology, Davanagere (QIP Centres) (Id: C-1347)",3,2,0,5,660,495,NA,1155,660,495,NA,1155
1113,"Bapuji Institute of Hi-tech Education, Davangere (Id: C-17763)",1,1,0,2,154,70,NA,224,6,9,NA,15
1114,"Bapuraoji Butle Arts, Narayanrao Bhat Commerce and . Bapusaheb Pafil Science College, Digras. (Id: C-42976)",1,0,0,1,100,NA,NA,100,0,NA,NA,0
1115,"Barabati Institute of Management Studies, (BIMS), Cuttack (Id: C-30061)",1,1,0,2,120,120,NA,240,60,40,NA,100
1116,Barabazar Bikram Tudu Memorial College (Id: C-44679),1,0,0,1,50,NA,NA,50,30,NA,NA,30
1117,"Barbil College, Barbil (Id: C-10936)",1,1,0,2,24,52,NA,76,0,0,NA,0
1118,Bareilly College (Id: C-13437),1,1,0,2,120,60,NA,180,120,60,NA,180
1119,"B.A.R. Janta College, Kaul (Id: C-10783)",1,1,0,2,40,10,NA,50,0,0,NA,0
1120,Barkhetri College (Id: C-17098),1,0,0,1,20,NA,NA,20,20,NA,NA,20
1121,BARODA HOMOEPETHIC MEDICAL COLLEGE (Id: C-6649),0,1,0,1,NA,196,NA,196,NA,196,NA,196
1122,Barrackpore Rastraguru Surendranath College (Id: C-43400),0,1,0,1,NA,54,NA,54,NA,50,NA,50
1123,"Bar. Rajabhau Khobragade Education College, Brahmapuri (Id: C-18242)",1,1,0,2,50,50,NA,100,50,50,NA,100
1124,"Basava Kalyan Engineering College, BASAVA KALYAN (Id: C-1245)",1,2,0,3,94,89,NA,183,86,89,NA,175
1125,"BASAVAPHRABU KORE COLLEGE OF ARTS/SCIENCE / COMMERCE, CHIKKODI (Id: C-9989)",1,1,0,2,180,120,NA,300,180,120,NA,300
1126,Basaveshwara College of Pharmacy (Id: C-40120),1,1,0,2,100,100,NA,200,60,10,NA,70
1127,Basaveshwara Medical College and Hospital (Id: C-40477),2,2,2,6,322,413,84,819,322,260,50,632
1128,BASAVESHWARA SCIENCE COLLEGE BAGALKOT (Id: C-10007),1,1,0,2,246,250,NA,496,196,201,NA,397
1129,"Basaveshwar B.Ed. College, SJM Vidyapeeth, Near Hosamath, Haveri (Id: C-35613)",0,1,0,1,NA,50,NA,50,NA,25,NA,25
1130,"BASAVESHWAR COLLEGE OF COMMERCE, , BAGALKOTE (PG) (Id: C-10030)",1,1,0,2,100,100,NA,200,55,64,NA,119
1131,"BASAVESHWAR COLLEGE OF PHYSICAL EDUCATION, BAGALKOTE (PG) (Id: C-9979)",1,1,0,2,120,40,NA,160,44,0,NA,44
1132,"Basaveshwar Engineering College, BAGALKOT (Id: C-1360)",2,2,0,4,700,600,NA,1300,700,600,NA,1300
1133,"Basaveshwar Engineering College, Bagalkot (QIP Centre) (Id: C-1325)",2,2,0,4,700,600,NA,1300,700,600,NA,1300
1134,"Baselios Mathew II College of Engineering, Sasthamcottah, Kollam (Id: C-43619)",1,1,0,2,117,200,NA,317,117,155,NA,272
1135,"BASELIOS THOMAS I CATHOLICOSE COLLEGE OF ENGINEERING and TECHNOLOGY, SYRIAN PARK, KOOTHATTUKULAM (Id: C-48169)",1,1,0,2,95,120,NA,215,40,25,NA,65
1136,"Baselius College, Kottayam-686 001 (Id: C-11763)",0,1,0,1,NA,100,NA,100,NA,94,NA,94
1137,"Baselius Poulose II Catholicose College, Piravam 686 664 (Id: C-11696)",0,1,0,1,NA,60,NA,60,NA,55,NA,55
1138,Basirhat College (Id: C-43395),1,0,0,1,26,NA,NA,26,26,NA,NA,26
1139,"Batmul Aashram College, Salheona (Id: C-22367)",1,0,0,1,30,NA,NA,30,20,NA,NA,20
1140,BBK DAV College for women Amritsar (Id: C-27868),0,1,0,1,NA,700,NA,700,NA,482,NA,482
1141,B Borooah College (Id: C-17292),1,0,0,1,140,NA,NA,140,120,NA,NA,120
1142,"B B S COLLEGE OF ENGINERING AND TECHNOLOGY, ALLAHABAD (Id: C-46670)",1,1,0,2,330,158,NA,488,240,80,NA,320
1143,"B B S INSTITUTE OF MANAGEMENT AND TECHNOLOGY, ALLAHABAD (Id: C-46669)",1,0,0,1,60,NA,NA,60,10,NA,NA,10
1144,"B B S INSTITUTE OF PHARMACEUTICAL AND ALLIED SCIENCES, GR.NOIDA (Id: C-46781)",1,1,0,2,80,24,NA,104,20,0,NA,20
1145,BCA COLLEGE SAMI (Id: C-6628),0,1,0,1,NA,100,NA,100,NA,0,NA,0
1146,"B.C.M. College, Kottayam - 686 001 (Id: C-11724)",0,1,0,1,NA,400,NA,400,NA,368,NA,368
1147,B.C.M College of Nursing (Id: C-31902),0,1,0,1,NA,200,NA,200,NA,171,NA,171
1148,B D Arya Girls College Jalandhar (Id: C-27871),0,1,0,1,NA,50,NA,50,NA,16,NA,16
1149,BDKM BCA COLLEGE PALANPUR (Id: C-6852),1,0,0,1,40,NA,NA,40,40,NA,NA,40
1150,BDKM FINE ARTS and ARTS COLLEGE (Id: C-6672),1,0,0,1,40,NA,NA,40,40,NA,NA,40
1151,BDKM SANCHALIT LAW COLLEGE PALANPUR (Id: C-6800),1,0,0,1,40,NA,NA,40,0,NA,NA,0
1152,"B.D.Mahila Mahavidyalaya, Natkai,Nischintakoili,Cuttack (Id: C-39637)",0,1,0,1,NA,40,NA,40,NA,39,NA,39
1153,B D SHAH COLLEGFEOF EDUCATION MODASA (Id: C-6888),1,1,0,2,100,100,NA,200,10,8,NA,18
1154,"B.D.S. INSTITUTE OF MANAGEMENT, MEERUT (Id: C-46178)",1,1,0,2,45,25,NA,70,0,0,NA,0
1155,"B.E.A. College of Education and PG Centre, Davangere (Id: C-17762)",0,1,0,1,NA,800,NA,800,NA,0,NA,0
1156,"Beary's College of Education, Kodi, Kundapura (Id: C-16997)",0,1,0,1,NA,15,NA,15,NA,2,NA,2
1157,"Beary's First Grade College, Kodi, Beach Road, Kundapura - 5 (Id: C-16848)",1,1,0,2,25,25,NA,50,1,1,NA,2
1158,"Bearys Institute of Technology, MANGALORE (Id: C-1236)",1,1,0,2,230,129,NA,359,230,80,NA,310
1159,BED COLLEGE ANTOLI (Id: C-6810),0,0,1,1,NA,NA,50,50,NA,NA,0,0
1160,B.ED.COLLEGE-BHUTVAD (TA.DHORAJI) (Id: C-949),0,1,0,1,NA,200,NA,200,NA,18,NA,18
1161,"B.Ed. College, PATAN (Id: C-11236)",1,0,0,1,50,NA,NA,50,0,NA,NA,0
1162,BEE ENN Charitable Trust (Id: C-22875),1,1,0,2,60,200,NA,260,10,30,NA,40
1163,Bejoy Narayan Mahavidyalaya (Id: C-44658),2,1,0,3,106,36,NA,142,70,0,NA,70
1164,"Bel-Air College of Nursing (B.Sc.), Bel-Air Hospital, Panchgani, Dist-Satara (Id: C-13955)",0,1,0,1,NA,160,NA,160,NA,160,NA,160
1165,Belda College (Id: C-19057),1,1,0,2,80,30,NA,110,80,0,NA,80
1166,"BELGAUM INSTITUTE OF MANAGEMENT STUDIES, BELAGAVI (PG) (Id: C-9990)",1,1,0,2,100,100,NA,200,3,3,NA,6
1167,Belgaum Institute of Medical Sciences (Id: C-40592),1,1,2,4,328,328,200,856,230,230,180,640
1168,Bellary Institute of Nursing (Id: C-40515),1,1,0,2,60,120,NA,180,22,36,NA,58
1169,"Bells Institute of Management and Technology, Knowledge City, Mehli, Shimla (Id: C-11417)",1,1,0,2,200,100,NA,300,75,25,NA,100
1170,"Benaiah institute of technology and Science, Christ Vidya Nagar, Burugupudi.PIN-533292 (CC-2K) (Id: C-18069)",1,1,0,2,60,60,NA,120,50,45,NA,95
1171,Bengal College of Engg. and Technology 125-WBUT (Id: C-6154),2,2,0,4,842,1042,NA,1884,818,1042,NA,1860
1172,Bengal College of Engineering and Technology for Women 260-ENGG (Id: C-6203),0,2,0,2,NA,500,NA,500,NA,445,NA,445
1173,Bengal College of Engineering and Technology 125-ENGG (Id: C-6245),2,2,0,4,842,1042,NA,1884,818,1042,NA,1860
1174,Bengal College of Pharmaceutical Sciences and Research 242-PHAR (Id: C-6150),1,1,0,2,1000,1100,NA,2100,1000,1100,NA,2100
1175,Bengal College of Teacher Education (Id: C-19073),1,1,0,2,50,25,NA,75,30,18,NA,48
1176,Bengal Homoeopathic Medical College and Hospital (Id: C-16398),2,4,0,6,20,54,NA,74,16,43,NA,59
1177,Bengal Institute of Technology and Management 163-ENGG (Id: C-6318),1,1,0,2,400,300,NA,700,370,171,NA,541
1178,Bengal Institute of Technology and Management 163-WBUT (Id: C-6292),1,1,0,2,400,300,NA,700,370,171,NA,541
1179,Bengal School of Technology 193-PHAR (Id: C-6179),1,1,0,2,94,54,NA,148,90,48,NA,138
1180,Bengal School of Technology and Management 266-WBUT (Id: C-6221),1,1,0,2,92,54,NA,146,25,25,NA,50
1181,Bengtol College (Id: C-17130),0,1,0,1,NA,50,NA,50,NA,50,NA,50
1182,"BENI MADHAV SINGH MAHAVIDYALAYA, BIGHAIYA, (Id: C-12047)",1,1,0,2,100,100,NA,200,25,35,NA,60
1183,Berhampore Girls College (Id: C-44038),0,2,0,2,NA,300,NA,300,NA,300,NA,300
1184,"Besant Women's College, Mangalore-575003 (Id: C-16833)",0,1,0,1,NA,200,NA,200,NA,75,NA,75
1185,"BES College,16th Main Road,4th block, Jayanagar, Bangalore-11 (Id: C-20839)",0,1,0,1,NA,120,NA,120,NA,120,NA,120
1186,"BES College of Arts and Commerce(Evening), 4th block, Jayanagar, Bangalore-11 (Id: C-20660)",0,1,0,1,NA,138,NA,138,NA,130,NA,130
1187,"BES College of Education, IV Block, Jayanagar, Bangalore-11 (Id: C-20750)",0,1,0,1,NA,138,NA,138,NA,19,NA,19
1188,"BEST DENTAL SCIENCE COLLEGE MADURAI, MADURAI (Id: C-45644)",1,1,0,2,60,150,NA,210,20,130,NA,150
1189,"Bethani First Grade College, Nujibalthila, Puttur (Id: C-16847)",1,1,0,2,50,50,NA,100,5,5,NA,10
1190,Bethany Christian College (Id: C-9368),0,1,0,1,NA,50,NA,50,NA,30,NA,30
1191,Bethany Navajeevan College of Education (Id: C-14993),1,0,0,1,40,NA,NA,40,3,NA,NA,3
1192,Bethlahem College of Education (Id: C-15010),1,1,0,2,120,120,NA,240,90,70,NA,160
1193,Bethlahem Institute of Engineering (Id: C-27052),1,1,0,2,150,150,NA,300,88,44,NA,132
1194,"BETHNI COLLEGE OF NURSING,BORSI ROAD (Id: C-32981)",0,1,0,1,NA,150,NA,150,NA,140,NA,140
1195,"Betnoti College, Betnoti (Id: C-10938)",1,2,0,3,40,90,NA,130,35,90,NA,125
1196,"BEYNON SMITH COLLEGE OF PHY., EDU, BELGAUM (Id: C-9885)",1,1,0,2,100,20,NA,120,19,3,NA,22
1197,B.F.I.T. Technical Campus (Id: C-21293),2,3,0,5,192,232,NA,424,192,232,NA,424
1198,"B.G. College, Bhabua (Id: C-27151)",1,0,0,1,50,NA,NA,50,20,NA,NA,20
1199,BGS College Of Education Nagamangala Tq (Id: C-17430),1,1,0,2,50,50,NA,100,19,38,NA,57
1200,"B.G.S. College of Education, Sringeri. (Id: C-17833)",1,1,0,2,25,25,NA,50,10,10,NA,20
1201,"B G S Inst., of Technology, Mandya Dist (Id: C-1243)",1,1,0,2,450,410,NA,860,350,300,NA,650
1202,B G S Nursing College (Id: C-40364),1,1,0,2,100,400,NA,500,30,350,NA,380
1203,"BGVS Arts and Commerce College, Sadashivagad, Karwar. (Id: C-35537)",0,1,0,1,NA,50,NA,50,NA,16,NA,16
1204,"BHAARATH COLLEGE OF NURSING DINDIGUL, DINDIGUL (Id: C-45808)",0,1,0,1,NA,400,NA,400,NA,200,NA,200
1205,"BHABHA INSTITUTE OF SCIENCE AND TECHNOLOGY, KANPUR DEHAT (Id: C-46858)",1,1,0,2,300,150,NA,450,250,100,NA,350
