SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
4067,"Jupitor College of Education, Mairi, Distt Una (Id: C-11523)",1,1,0,2,20,20,NA,40,0,0,NA,0
4068,"J.V.College, Baraut (Baghpat) Mob.No.9411023134, 01234-262130 (Id: C-28626)",2,1,0,3,136,45,NA,181,126,0,NA,126
4069,"JYOTHI ENGINEERING COLLEGE, CHERUTHURUTHY (Id: C-8003)",1,1,0,2,329,393,NA,722,232,153,NA,385
4070,"Jyothi Nivas college, Hosur Rd, Bangalore-95(Autonomous) (Id: C-21169)",0,1,0,1,NA,150,NA,150,NA,150,NA,150
4071,Jyothisamithi Institute of Technological Science (Id: C-19712),1,1,0,2,250,300,NA,550,148,225,NA,373
4072,Jyothisamithi Institute of Technological Technology and Science (Id: C-19868),1,1,0,2,300,250,NA,550,300,250,NA,550
4073,Jyothismathi Institute of Pharmaceutical Sciences (Id: C-19642),1,1,0,2,50,100,NA,150,0,22,NA,22
4074,"JYOTHY INSTITUTE OF TECHNOLOGY, BANGALORE (Id: C-45308)",1,1,0,2,200,115,NA,315,28,10,NA,38
4075,Jyotirmay School of Law (Id: C-11901),1,1,0,2,30,30,NA,60,15,11,NA,26
4076,Kaamadhenu Arts and Science College (Id: C-41098),1,1,0,2,135,161,NA,296,134,161,NA,295
4077,"KABARIYA ARTS, VAGHASIYA COMMERCE and BHAGAT SCIENCE MAHILA COLLEGE-AMRELI (Id: C-747)",0,11,0,11,NA,3597,NA,3597,NA,417,NA,417
4078,Kabi Nazrul College (Id: C-44783),0,1,0,1,NA,99,NA,99,NA,68,NA,68
4079,Kabi Sukanta Secondary Teachers' Traning Institute (Id: C-19038),2,1,0,3,60,40,NA,100,40,25,NA,65
4080,"Kachiyappa Munivar Tamizhiyal Kalloori, Umaiyalpuram Village, Sevanthilingapuram (P.O), Musiri (Tk), Tiruchirappalli (Dt.) - 621 211 (Id: C-35804)",0,1,0,1,NA,40,NA,40,NA,3,NA,3
4081,Kadambini Women's College of Education (Id: C-19083),0,1,0,1,NA,150,NA,150,NA,76,NA,76
4082,K.A.D. COLLEGE (Id: C-12257),1,0,0,1,134,NA,NA,134,0,NA,NA,0
4083,KADVA PATEL BED COLLEGE (Id: C-6723),0,1,0,1,NA,30,NA,30,NA,10,NA,10
4084,"KAHM UNITY WOMENS' COLLEGE, MANJERI (Id: C-8007)",0,1,0,1,NA,150,NA,150,NA,67,NA,67
4085,"KAILASH INSTITUTE OF PHARMACY AND MANAGEMENT, GORAKHPUR (Id: C-46773)",1,1,0,2,81,81,NA,162,81,36,NA,117
4086,Kailkere Rukmini Shetty Memorial College of Nursing (Id: C-40365),0,2,0,2,NA,350,NA,350,NA,125,NA,125
4087,Kai. Rajaram Marathe College of Agriculture (Id: C-43588),1,1,0,2,140,64,NA,204,123,34,NA,157
4088,"Kai Ramchandra Udangaonkar Maharaj Washims Late Pandurang Patil Nursing (B.Sc.) College, At/po. Kanheri (Sarap), Tal. Barshitakli, Dist. Akola (Id: C-14020)",1,1,0,2,10,20,NA,30,10,20,NA,30
4089,Kakatiya Institute of Technolgy and Science for Women (Id: C-19589),0,1,0,1,NA,360,NA,360,NA,200,NA,200
4090,"Kakatiya Institute of Technology and Science, Yerragattu Hillocks, Bheemaram, Hasanparthy, Warangal (Id: C-27400)",1,1,0,2,290,237,NA,527,290,237,NA,527
4091,Kakching Khunou College (Id: C-9429),0,2,0,2,NA,64,NA,64,NA,25,NA,25
4092,"Kakinada Institute of Technological Sciences,A Agraharam(V), Ramachandrapuram-533255 (CC-JP) (Id: C-17973)",1,1,0,2,100,60,NA,160,60,30,NA,90
4093,Kakojan College P.O. Kakojan--785107 (Id: C-8421),0,1,0,1,NA,35,NA,35,NA,35,NA,35
4094,Kalaignar Karunanidhi Institute of Technology (Id: C-37070),1,1,0,2,450,450,NA,900,150,75,NA,225
4095,"Kalai Kaviri College of Fine Arts, 18 Benwells Road, Tiruchirappalli - 620 001 (Id: C-35869)",1,1,0,2,30,100,NA,130,30,92,NA,122
4096,Kalaivani College of Education (Id: C-14617),0,1,0,1,NA,25,NA,25,NA,11,NA,11
4097,Kalaivani College of Technology (Id: C-37042),1,1,0,2,460,148,NA,608,340,86,NA,426
4098,"Kalanjali College of Nursing, Hyderabad (Id: C-30508)",0,1,0,1,NA,160,NA,160,NA,65,NA,65
4099,Kalars College of Education (Id: C-23014),0,1,0,1,NA,50,NA,50,NA,0,NA,0
4100,Kalasalingam Institute of Technology (Id: C-27066),1,1,0,2,500,500,NA,1000,200,400,NA,600
4101,Kaliabor College (Id: C-17183),1,1,0,2,120,120,NA,240,120,120,NA,240
4102,Kaliachak College (Id: C-42698),0,1,0,1,NA,100,NA,100,NA,0,NA,0
4103,Kalinagar Mahavidyalaya (Id: C-43375),1,0,0,1,40,NA,NA,40,40,NA,NA,40
4104,"Kalinga Mahavidyalaya, G. Udayagiri (Id: C-39344)",1,0,0,1,30,NA,NA,30,30,NA,NA,30
4105,Kaliyaganj College (Id: C-42689),1,1,0,2,20,20,NA,40,20,0,NA,20
4106,Kalka Institute for Research and Advanced Studies (Id: C-32921),1,1,0,2,50,50,NA,100,8,10,NA,18
4107,"Kalloomal Sanskrit Mahavidyalaya, Chaval Mandi (Id: C-20189)",1,0,0,1,50,NA,NA,50,20,NA,NA,20
4108,Kalna College (Id: C-44707),1,0,0,1,100,NA,NA,100,80,NA,NA,80
4109,"Kalpataru Institute of Technology, TIPTUR (Id: C-1390)",2,2,0,4,400,450,NA,850,400,450,NA,850
4110,"Kalpatharu College, Halekote, Belthangaday (Id: C-16989)",0,1,0,1,NA,50,NA,50,NA,8,NA,8
4111,"Kalpatharu College of Education, Tiptur (Id: C-6992)",1,1,0,2,100,100,NA,200,10,15,NA,25
4112,"Kalpatharu Science First Grade College, Tiptur (Id: C-6961)",0,1,0,1,NA,500,NA,500,NA,200,NA,200
4113,Kalsar College of Engineering (Id: C-16585),1,0,0,1,100,NA,NA,100,20,NA,NA,20
4114,Kalvithanthai AKR Sourashtra Teachers College (Id: C-14917),0,1,0,1,NA,50,NA,50,NA,20,NA,20
4115,"Kalwan Education Societys Arts, Commerce and Science College, Kalwan, Dist.Nashik 423501 (Id: C-42144)",0,1,0,1,NA,32,NA,32,NA,0,NA,0
4116,Kalyan College Bhilai (Id: C-26386),0,1,0,1,NA,100,NA,100,NA,100,NA,100
4117,"Kalyani Charitable Trusts K.R.Sapkal College of Management Studies, Kalyani Hills, Anjaneri,Tryambakeshwar Road, Nashik (Id: C-42062)",1,1,0,2,30,30,NA,60,3,4,NA,7
4118,"Kalyani Charitable Trusts Late G.N.Sapkal College of Engineering , Sapkal Knowledge Hub,Kalyani Hills, Anjaneri Vadholi, Tryambakeshwar, Dist.Nashik 422212 (Id: C-42196)",1,1,0,2,100,64,NA,164,100,64,NA,164
4119,"Kalyani Charitable Trusts Ravindra Gambhirrao Sapkal Pharmacy College, Sapkal PharmacyCollege, Ajneri, Wadholi, Tryambak, Dist.Nashik (Id: C-41754)",1,1,0,2,72,72,NA,144,20,40,NA,60
4120,KALYANI GOVERNMENT ENGINEERING COLLEGE 102-MCA (Id: C-6287),4,0,1,5,480,NA,150,630,480,NA,150,630
4121,"Kalyani MCA College, Eethamukkala (Id: C-42704)",1,1,0,2,30,20,NA,50,12,10,NA,22
4122,Kalyan P.G. College Bhilai Nagar (Id: C-21730),0,1,0,1,NA,100,NA,100,NA,100,NA,100
4123,"Kalyan Sanskrit Mahavidyalaya, Davthara (Id: C-20195)",1,0,0,1,80,NA,NA,80,20,NA,NA,20
4124,Kamakhya Pemton College (Id: C-9369),0,1,0,1,NA,40,NA,40,NA,0,NA,0
4125,"Kamakshi Nursing Institutes, Bassa Wazira, Nurpur, Distt Kangra (Id: C-11350)",0,2,0,2,NA,340,NA,340,NA,191,NA,191
4126,"Kamala Baliga College of Education, Kumta. (Id: C-35704)",1,1,0,2,65,100,NA,165,10,15,NA,25
4127,Kamala College of Education (Id: C-14929),1,1,0,2,30,20,NA,50,25,15,NA,40
4128,Kamala College of Nursing (Id: C-40204),1,1,0,2,40,120,NA,160,13,77,NA,90
4129,"Kamala College,Rajarampuri (Id: C-11163)",0,1,0,1,NA,160,NA,160,NA,160,NA,160
4130,Kamala Institute of Technology and Science (Id: C-19928),1,1,0,2,150,250,NA,400,125,230,NA,355
4131,Kamala Krishna Royale Nursing College Cottonpet (Id: C-44871),0,1,0,1,NA,160,NA,160,NA,28,NA,28
4132,"Kamala Nehru Memorial National Arts, Commerce and Science College, Shimoga. (Id: C-17771)",0,1,0,1,NA,250,NA,250,NA,250,NA,250
4133,"KAMALATCHI PANDURANGAN COLLEGE OF PHARMACY THIRUVANNAMALAI, THIRUVANNAMALAI (Id: C-45726)",1,1,0,2,30,20,NA,50,20,10,NA,30
4134,KAMANI SCIENCE and PRATAPRAI ARTS COLLEGE-AMRELI (Id: C-877),1,0,0,1,36,NA,NA,36,0,NA,NA,0
4135,Kamaraj College of Engineering and Technology (Id: C-27075),1,2,0,3,452,792,NA,1244,437,501,NA,938
4136,"Kamaraj College, Tiruchendur Road, Tuticorin - 628 003. (Id: C-41209)",1,1,0,2,100,100,NA,200,35,50,NA,85
4137,Kamargaon College P.O. Kamargaon-785619 (Id: C-8453),0,1,0,1,NA,40,NA,40,NA,35,NA,35
4138,"Kamban college of Arts and Science for women,Mathur.-606603 (Id: C-36367)",0,1,0,1,NA,200,NA,200,NA,111,NA,111
4139,Kamban Engineering College (Id: C-16586),2,1,0,3,303,256,NA,559,286,243,NA,529
4140,"Kamineni College of Nursing, Hyderabad (Id: C-30492)",0,1,0,1,NA,200,NA,200,NA,156,NA,156
4141,"Kamineni Inst. of Dental Sciences, Narketpally (Id: C-30517)",1,2,0,3,100,207,NA,307,42,195,NA,237
4142,"KAMLA NEHRU P.G. COLLEGE, TEJGAON, (Id: C-12039)",1,0,0,1,75,NA,NA,75,15,NA,NA,15
4143,"KAMLA NEHRU PHYSICAL and SOCIAL SCIENCES SANSTHAN, SULTANPUR (Id: C-42515)",0,1,0,1,NA,200,NA,200,NA,168,NA,168
4144,"KAMLA SMRITI COLLEGE,AMAHA,SIDHI (Id: C-31776)",1,1,0,2,30,20,NA,50,0,10,NA,10
4145,"Kammavari Sangh Group and Institutions, BANGALORE SOUTH (Id: C-1344)",1,1,0,2,500,250,NA,750,150,100,NA,250
4146,"Kamore Science College, Kymore, Katni (Id: C-33412)",0,1,0,1,NA,40,NA,40,NA,0,NA,0
4147,Kamrah Institute of Information and Technology(KIIT) (Id: C-28360),1,1,0,2,125,150,NA,275,4,16,NA,20
4148,Kamrup College (Id: C-17253),1,0,0,1,40,NA,NA,40,20,NA,NA,20
4149,Kanad Institute of Engineering and Management 252 - ENGG (Id: C-6261),2,1,0,3,345,120,NA,465,265,34,NA,299
4150,Kanchi Pallavan Engineering College (Id: C-16588),1,1,0,2,400,200,NA,600,360,110,NA,470
4151,KANCHI SHRI KRISHNA COLLEGE OF ARTS AND SCIENCE (Id: C-43919),1,1,0,2,100,100,NA,200,10,5,NA,15
4152,Kandaswami Kandars College (Id: C-9492),1,1,0,2,180,160,NA,340,156,120,NA,276
4153,Kandhaswamy College of Education (Id: C-14467),1,1,0,2,100,100,NA,200,0,0,NA,0
4154,Kandi Raj College (Id: C-7119),1,0,0,1,60,NA,NA,60,28,NA,NA,28
4155,Kandula Lakshumma College of Egg. for Women (Id: C-26892),0,1,0,1,NA,416,NA,416,NA,200,NA,200
4156,Kanksa Academy of Technology and Management 254 - ENGG (Id: C-6268),2,1,0,3,156,56,NA,212,121,28,NA,149
4157,Kannada Balaga Ayurvedic Medical College (Id: C-40435),1,1,0,2,60,60,NA,120,40,60,NA,100
4158,"Kannur Dental College, Anjarakandy, P.O. Mamba (Id: C-43862)",3,3,0,6,150,150,NA,300,135,135,NA,270
4159,"Kannur Medical College, Anjarakandy, Post Mamba, Kannur (Id: C-43774)",4,6,0,10,200,300,NA,500,200,275,NA,475
4160,"Kannur Salafi B. Ed. College, Chekkikulam , Kannur (Id: C-43885)",0,1,0,1,NA,10,NA,10,NA,4,NA,4
4161,Kanon Devi Memorial College of Teachers' Education (Id: C-9395),1,1,0,2,20,20,NA,40,2,0,NA,2
4162,"Kanoria P G Mahila Mahavidyalaya, Jaipur (Id: C-38539)",0,1,0,1,NA,300,NA,300,NA,250,NA,250
4163,"Kantidarshan Saikshnik and Computer Prasikshan Sansthan, Kosanagar, Supela (Id: C-21834)",1,1,0,2,30,50,NA,80,12,25,NA,37
4164,"Kanya Gurukul Sanskrit Mahavidyalaya, Harhras (Id: C-20252)",0,1,0,1,NA,500,NA,500,NA,300,NA,300
4165,"KANYAKUMARI GOVT MEDICAL COLLEGE KANYAKUMARI, KANYAKUMARI (Id: C-45623)",1,1,0,2,500,500,NA,1000,186,270,NA,456
4166,"Kanya Mahavidyalaya, Kharkhoda (Id: C-28176)",0,1,0,1,NA,100,NA,100,NA,45,NA,45
4167,Kapi Womens College of Education (Id: C-14551),0,1,0,1,NA,20,NA,20,NA,10,NA,10
4168,"K.A.P. VISWANATHAM GOVERNMENT MEDICAL COLLEGE TIRUCHIRAPALLI, TIRUCHIRAPALLI (Id: C-45684)",3,2,1,6,310,273,130,713,310,273,130,713
4169,"KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT, KARAIKUDI (Id: C-45319)",1,1,0,2,100,50,NA,150,100,30,NA,130
4170,KARAMAT HUSAIN MUSLIM GIRLS DEGREE COLLEGE (Id: C-12787),0,1,0,1,NA,210,NA,210,NA,180,NA,180
4171,"Karamveer College, Mool (Id: C-18369)",1,1,0,2,20,20,NA,40,0,0,NA,0
4172,"Karamvir Dadasaheb Kannamwar Engineering College, Nandanvan (Id: C-18630)",1,1,0,2,66,59,NA,125,50,46,NA,96
4173,"Karanjia College, Karanjia (Id: C-10948)",2,3,0,5,145,129,NA,274,130,129,NA,259
4174,"Karavali College, NH-17, Near Kottara Chowki Junction, Bangra Kuloor, Mangalore-13 (Id: C-17021)",1,1,0,2,196,178,NA,374,4,5,NA,9
4175,"Karavali College of Education, NH17, Near Kottara Chowki Junction, Mangalore-13 (Id: C-16820)",1,1,0,2,30,30,NA,60,3,2,NA,5
4176,Karavali College of Nursing (Id: C-40377),1,1,0,2,150,200,NA,350,22,131,NA,153
4177,Karavali College of Pharmacy (Id: C-40451),1,0,0,1,1000,NA,NA,1000,1000,NA,NA,1000
4178,"Karavali Institute of Technology, MANGALORE (Id: C-1380)",1,1,0,2,258,280,NA,538,240,275,NA,515
4179,Karimganj College (Id: C-26408),1,1,0,2,30,40,NA,70,26,37,NA,63
4180,Karimpur Pannadevi College (Id: C-44056),1,1,0,2,15,50,NA,65,0,0,NA,0
4181,Karmaveer Bhaurao Patil College of Engineering and Polytechnic (Id: C-11018),1,1,0,2,200,60,NA,260,200,60,NA,260
4182,"Karmaveer Mamasaheb Jagdale Mahavidyalaya Arts, Science and Commerce College, Washi. (Id: C-34409)",1,1,0,2,50,250,NA,300,40,250,NA,290
4183,"Karmveer Bhaurao Patil College, URUN-ISLAMPUR (Id: C-11036)",0,1,0,1,NA,155,NA,155,NA,148,NA,148
4184,KARMVEER BHAURAO PATIL MAHAVIDYALYA PANDHARPUR-413 304. DIST-SOLAPUR (Id: C-15798),1,1,0,2,40,155,NA,195,40,155,NA,195
4185,"KARMYOGI ENGINEERING COLLEGE SHELVE TAL.PANDHAPUR, DIST-SOLAPUR (Id: C-15755)",1,1,0,2,600,150,NA,750,600,120,NA,720
4186,"Karnal Institute of Technology and Management, (KITM) (Id: C-10885)",1,1,0,2,210,40,NA,250,180,34,NA,214
4187,"Karnataka Arts and Commerce College, Dharwad (Id: C-35702)",2,2,0,4,297,302,NA,599,315,318,NA,633
4188,Karnataka Ayurvedic Medical College (Id: C-40272),0,2,0,2,NA,300,NA,300,NA,210,NA,210
4189,"Karnataka College of Management, No.33/2, Thirumenahalli, Hegadenagara, Bangalore -560 064. (Id: C-20721)",3,1,0,4,150,60,NA,210,40,10,NA,50
4190,"Karnataka College of Management Sciences, No.33/2, Tirumenahalli, Hegadenagar Main Road, Jakkur Post, Yelahanka Hobli, Bangalore-64. (Id: C-20798)",3,1,0,4,300,60,NA,360,192,35,NA,227
4191,Karnataka College of Nursing (Id: C-40251),1,2,0,3,100,300,NA,400,50,290,NA,340
4192,Karnataka College of Pharmacy (Id: C-40536),3,3,0,6,210,240,NA,450,125,80,NA,205
4193,Karnataka College of Pharmacy (Id: C-40596),1,1,0,2,60,30,NA,90,60,15,NA,75
4194,"Karnataka Education College, Dharwad (Id: C-35461)",1,1,0,2,50,40,NA,90,50,40,NA,90
4195,Karnataka Institute of Medical Sciences (Id: C-40444),3,2,0,5,526,285,NA,811,526,285,NA,811
4196,"Karnataka Law College, Dharwad (Id: C-35528)",1,0,0,1,52,NA,NA,52,52,NA,NA,52
4197,"Karnataka Law Society, HALIYAL Dt: N.K. (Id: C-1282)",2,2,0,4,460,300,NA,760,381,172,NA,553
4198,"Karnataka National Education Trust, Bidar (Id: C-26691)",1,0,0,1,100,NA,NA,100,80,NA,NA,80
4199,"Karnataka Science College, Dharwad (Id: C-35555)",2,2,0,4,135,230,NA,365,168,265,NA,433
4200,Karnavati School of Dentistry (Id: C-5911),1,1,0,2,124,136,NA,260,91,125,NA,216
4201,Karpagam College of Education (Id: C-14645),1,1,0,2,100,100,NA,200,2,8,NA,10
4202,Karpagam College of Engineering (Id: C-37044),1,1,0,2,1050,952,NA,2002,1050,952,NA,2002
4203,"KARPAGAM COLLEGE OF PHARMACY COIMBATORE, COIMBATORE (Id: C-45543)",1,1,0,2,60,60,NA,120,25,50,NA,75
4204,Karpagam Institute of Technology (Id: C-37035),1,1,0,2,340,340,NA,680,199,234,NA,433
4205,"KARPAGAM NURSING COLLEGE COIMBATORE, COIMBATORE (Id: C-45547)",0,1,0,1,NA,125,NA,125,NA,64,NA,64
4206,"KARPAGA VINAYAGA COLLAGE OF NURSING KANCHIPURAM , KANCHIPURAM (Id: C-45612)",1,1,0,2,100,200,NA,300,10,33,NA,43
4207,Karpaga Vinayaga College of Engineering and Technology (Id: C-16599),2,1,0,3,800,695,NA,1495,387,151,NA,538
4208,"KARPAGA VINAYAGA COLLEGE OF NURSING PUDUKKOTTAI, PUDUKKOTTAI (Id: C-45705)",0,3,0,3,NA,500,NA,500,NA,320,NA,320
4209,Karpaga Vinayaga Institute of Management (Id: C-24980),1,1,0,2,50,50,NA,100,8,10,NA,18
4210,"KARPAGA VINAYAGA INSTITUTE OF MEDICAL SCIENCESAND RESEARCH CENTRE KANCHIPURAM, KANCHIPURAM (Id: C-45816)",1,1,0,2,500,500,NA,1000,272,220,NA,492
4211,"KARPAGA VINYAKA INSTITUTE OF DENTAL SCIENCES KANCHEEPURAM, KANCHEEPURAM (Id: C-45607)",1,1,0,2,550,350,NA,900,90,302,NA,392
4212,"KARUNA COLLEGE OF NURSING, VILAYODI, CHITTUR (Id: C-8084)",1,1,0,2,20,200,NA,220,12,139,NA,151
4213,"KARUNA MEDICAL COLLEGE, CHITTUR (Id: C-43276)",1,2,0,3,250,525,NA,775,200,432,NA,632
4214,Karuppannan Mariappan College (Id: C-41084),1,1,0,2,50,60,NA,110,23,26,NA,49
4215,Karur College of Engineering (Id: C-36982),1,1,0,2,50,50,NA,100,28,4,NA,32
4216,"Karve Insititute of Social Service, Hillside, Karvenagar, Pune 411052 (Id: C-41409)",1,0,0,1,40,NA,NA,40,40,NA,NA,40
4217,"Kasegaon Education Society Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya,Islampur (Id: C-11180)",0,1,0,1,NA,160,NA,160,NA,65,NA,65
4218,"KASHMIR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45968)",1,1,0,2,150,150,NA,300,0,0,NA,0
4219,"KASHMIR VALLEY COLLEGE OF EDUCATION, BUDGAM (Id: C-45976)",1,1,0,2,100,100,NA,200,80,100,NA,180
4220,"Kasmade Parisar Vikas Mandals College of B.Ed. Co Ed Education, A/p. Vasaka, Vithewadi Lohaner, Tal. Devala, Dist.Nashik (Id: C-41962)",0,1,0,1,NA,25,NA,25,NA,10,NA,10
4221,Kasthooribha Gandhi College of Education (Id: C-14671),0,1,0,1,NA,100,NA,100,NA,16,NA,16
4222,Kasthurba Gandhi Kanya Gurukulam (Id: C-14951),0,1,0,1,NA,100,NA,100,NA,75,NA,75
4223,KASTUBAI COLLEGE OF EDUCATION ASHOK CHWOK SOLAPUR DIST-SOLAPUR 413 006 MAHARASHTRA (Id: C-15787),1,1,0,2,20,20,NA,40,0,0,NA,0
4224,KASTURBA GANDHI NURSING COLLEGE (Id: C-47763),0,1,0,1,NA,200,NA,200,NA,63,NA,63
4225,"Kasturba Gram Sansthan, Kasturba Gram, Indore (Id: C-29783)",0,3,0,3,NA,375,NA,375,NA,322,NA,322
4226,"Kasturba Medical College, Mangalore (Id: C-7251)",1,1,0,2,7989,5996,NA,13985,7041,5169,NA,12210
4227,"Kasturba Medical College, Manipal (Id: C-7242)",1,1,0,2,7989,5996,NA,13985,7041,5169,NA,12210
4228,Kasturiba Gandhi Jal (Spain) College of Education for Women (Id: C-14508),0,1,0,1,NA,75,NA,75,NA,19,NA,19
4229,"Kasturi Shikshan Sansthas Institute of Management, A/p. Shikrapur, Tal. Shirur, Dist. Pune 412208 (Id: C-41550)",0,1,0,1,NA,60,NA,60,NA,45,NA,45
4230,Kathir College of Education (Id: C-14493),1,1,0,2,50,50,NA,100,7,5,NA,12
4231,Kathir College of Engineering (Id: C-36988),1,1,0,2,450,450,NA,900,300,275,NA,575
4232,"Katihar Medical College, Katihar (Id: C-29573)",3,2,3,8,248,150,285,683,248,150,285,683
4233,"Katrina Moller College of Nursing, Arogyavaram (Id: C-30675)",1,3,0,4,150,550,NA,700,100,400,NA,500
4234,Katwa College (Id: C-44651),1,1,0,2,85,52,NA,137,85,52,NA,137
4235,"KAUSAR COLLEGE OF EDUCATION, SRINAGAR (Id: C-46003)",1,1,0,2,300,300,NA,600,35,50,NA,85
4236,"Kaushik College of Engineering, Gambhiram, Anandpuram Mandal, PIN-531163 (CC-W2) (Id: C-18077)",0,1,0,1,NA,250,NA,250,NA,77,NA,77
4237,"Kautilya Institute of Technology and Engineering,Jaipur (Id: C-25159)",1,1,0,2,321,55,NA,376,260,50,NA,310
4238,"Kaveri First Grade College, No.354, F Block, Sahakaranagar, Bangalore -92 (Id: C-21150)",1,1,0,2,100,100,NA,200,80,100,NA,180
4239,"Kavi Kulguru Institute of Technology and Science, Ramtek (Id: C-18777)",2,2,0,4,600,500,NA,1100,580,500,NA,1080
4240,"Kaviyattu College of Education, Pirappancode P.O., Thiruvananthapuram (Id: C-43681)",1,1,0,2,20,30,NA,50,1,3,NA,4
4241,"Kavuri Subba Rao College of Nursing, Guntur (Id: C-30503)",0,2,0,2,NA,350,NA,350,NA,200,NA,200
4242,Kawa college of Education (Id: C-22878),0,1,0,1,NA,24,NA,24,NA,0,NA,0
4243,Kaypeeyes College of Arts and Science (Id: C-41119),1,1,0,2,10,10,NA,20,0,0,NA,0
4244,K B INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (Id: C-1078),1,0,0,1,100,NA,NA,100,65,NA,NA,65
4245,"K.B. Jha College, Katihar (Id: C-29600)",1,1,0,2,100,50,NA,150,0,0,NA,0
4246,K.B.N. COLLEGE (Id: C-27168),0,1,0,1,NA,70,NA,70,NA,63,NA,63
4247,"K B N College of Engineering, GULBARGA (Id: C-1351)",1,1,0,2,200,100,NA,300,190,90,NA,280
4248,"K.B.PATEL COLLEGE OF NURSING ,GODRIPARA ,CHIRMIRI (Id: C-33000)",0,1,0,1,NA,200,NA,200,NA,80,NA,80
4249,"K. B. WOMEN'S COLLEGE, HAZARIBAG (Id: C-44396)",0,3,0,3,NA,180,NA,180,NA,157,NA,157
4250,"K. C. Ajamera Ayurved Mahavidyalya, Dhule (Id: C-13874)",1,1,0,2,30,40,NA,70,20,30,NA,50
4251,KC College of Education (Id: C-30800),0,1,0,1,NA,100,NA,100,NA,2,NA,2
4252,"K.C. Education and Socail Welfare Society Group of Research and Professional Institutes, VPO pandoga, Uparla Tehsil and Distt Una (Id: C-11415)",1,1,0,2,150,150,NA,300,39,11,NA,50
4253,KCG College of Technology (Id: C-16611),2,2,0,4,410,255,NA,665,380,226,NA,606
4254,K.C. Gurukul College of Education (Id: C-30789),0,1,0,1,NA,50,NA,50,NA,0,NA,0
4255,"K.C. Institute of Management Pandoga, Uparla, Distt Una (Id: C-11519)",1,1,0,2,50,15,NA,65,50,15,NA,65
4256,"K.C. Institute of Pharmaceutical Sciences, VPO Pandoga Uprla, Distt Una (Id: C-11329)",1,1,0,2,46,15,NA,61,30,10,NA,40
4257,K.C Minerva College of Education (Id: C-22964),0,1,0,1,NA,50,NA,50,NA,0,NA,0
4258,KC School of Management and Computer Application (Id: C-10442),1,1,0,2,120,80,NA,200,1,0,NA,1
4259,"KCS Dr.A.V.Baliga Arts and Science College, Kumta. (N.K.) (Id: C-35490)",1,1,0,2,60,120,NA,180,4,17,NA,21
4260,KCS Dr.A.V.Baliga Comm. and B.B.A. College of Kumta. (Id: C-35661),1,1,0,2,120,120,NA,240,35,40,NA,75
4261,KCT College of Pharmacy (Id: C-40241),1,0,0,1,200,NA,NA,200,100,NA,NA,100
4262,"K C T Engineering College, GULBARGA (Id: C-1280)",1,0,0,1,110,NA,NA,110,80,NA,NA,80
4263,"K.D. College, Simbhaoli (Ghaziabad) Mob.No.9927103707 (Id: C-28866)",1,0,0,1,30,NA,NA,30,30,NA,NA,30
4264,"K.D.M.Gs Homoeopathy College, Shirpur, Dhule (Id: C-13855)",1,1,0,2,75,75,NA,150,25,55,NA,80
4265,"K. D. Rungta College of Science and Technology, Atari (Id: C-21740)",1,1,0,2,30,20,NA,50,10,4,NA,14
4266,"KEDARNATH AGGARWAL INSTITUTE OF MANAGEMENT, CHARKHI DADRI (Id: C-45072)",1,1,0,2,60,88,NA,148,48,54,NA,102
4267,"Kedarnath Sanskrit Mahavidyalaya, Goppur, Cholapur (Id: C-20224)",0,1,0,1,NA,25,NA,25,NA,22,NA,22
4268,"KEERAI THAMILSELVAN COLLEG OF NURSING PUDUKOTTAI , PUDUKOTTAI (Id: C-45708)",0,1,0,1,NA,150,NA,150,NA,112,NA,112
4269,Keerrai Thamil Selvan College of Education for Women (Id: C-14499),0,1,0,1,NA,100,NA,100,NA,33,NA,33
4270,Keerthi College of Nursing (Id: C-40169),1,1,0,2,150,100,NA,250,70,60,NA,130
4271,Keins College of Education for Women (Id: C-14639),0,1,0,1,NA,100,NA,100,NA,40,NA,40
4272,"Kelappaji College of Agrl. Engineering and Technology, Tavanur (Id: C-44030)",1,2,0,3,110,99,NA,209,57,171,NA,228
4273,Kempegowda Institute of Medical Sciences (Id: C-40499),1,1,0,2,271,315,NA,586,263,222,NA,485
4274,Kempegowda Institute of Physiotherapy (Id: C-40155),1,1,0,2,100,100,NA,200,25,25,NA,50
4275,"Kerala Institute of Co-operative Management, Nettukaltheri, Neyyar Dam, Thiruvananthapuram (Id: C-43652)",1,1,0,2,120,120,NA,240,22,27,NA,49
4276,"Kerala Law Academy Law College, Thiruvananthapuram (Id: C-43597)",0,1,0,1,NA,100,NA,100,NA,100,NA,100
4277,Kevi Womens College of Education (Id: C-14726),0,1,0,1,NA,50,NA,50,NA,0,NA,0
