Programme,1st Year Enrolment - Male,1st Year Enrolment - Female,1st Year Enrolment - Total,2nd Year Enrolment - Male,2nd Year Enrolment - Female,2nd Year Enrolment - Total,3rd Year Enrolment - Male,3rd Year Enrolment - Female,3rd Year Enrolment - Total,4th Year Enrolment - Male,4th Year Enrolment - Female,4th Year Enrolment - Total,5th Year Enrolment - Male,5th Year Enrolment - Female,5th Year Enrolment - Total,6th Year Enrolment - Male,6th Year Enrolment - Female,6th Year Enrolment - Total,7th Year Enrolment - Male,7th Year Enrolment - Female,7th Year Enrolment - Total,8th Year Enrolment - Male,8th Year Enrolment - Female,8th Year Enrolment - Total
B.I.M.-Bachelor of Indian Medicine,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.J.-Bachelor of Journalism,239,103,342,63,22,85,100,57,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.J.M.C.-Bachelor of Journalism and Mass Communication,1084,757,1841,854,727,1581,769,724,1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.L.-Bachelor of Law or Laws,1841,1139,2980,1441,913,2354,1259,881,2140,714,522,1236,785,532,1317,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Lib.I.Sc.-Bachelor of Library and Information Science,450,651,1101,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Lib.Sc.-Bachelor of Library Science,74,226,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Litt.-Bachelor of Literature,489,1312,1801,394,1176,1570,255,932,1187,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.M.M.-Bachelor of Multi Media,892,734,1626,750,623,1373,273,390,663,0,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.M.S.-Bachelor of Management Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Mus.-Bachelor of Music,162,244,406,91,198,289,92,450,542,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Nat.(Ayu)-Bachelor of Ayurved in Naturopathy,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
B.Nat.(Yogic Sciences)-Bachelor of Naturopathy and Yogic Sciences,60,186,246,69,179,248,54,107,161,52,70,122,5,7,12,1,0,1,NA,NA,NA,NA,NA,NA
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,4,12,16,2,12,14,3,15,18,4,12,16,3,15,18,3,6,9,NA,NA,NA,NA,NA,NA
B.O.L.-Bachelor of Oriental Learning,92,109,201,74,75,149,85,86,171,5,9,14,4,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Optom.-Bachelor of Clinical Optometry,129,151,280,117,89,206,144,115,259,101,63,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.O.T.-Bachelor of Occupational Therapy,49,94,143,49,91,140,36,70,106,40,78,118,19,52,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.P.A.-Bachelor of Performing Arts,31,34,65,30,29,59,12,18,30,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.P.E.-Bachelor of Physical Education,1591,399,1990,1140,304,1444,907,247,1154,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.P.Ed.-Bachelor of Physical Education,6158,2132,8290,141,28,169,157,32,189,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,1286,977,2263,1101,714,1815,873,661,1534,1062,753,1815,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Pharm.-Bachelor of Pharmacy,14366,12441,26807,13880,11240,25120,14275,11127,25402,15228,10897,26125,22,19,41,0,0,0,NA,NA,NA,NA,NA,NA
B.Plan.-Bachelor of Planning,2,3,5,5,4,9,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.P.S.-Bachelor of Professional Studies,175,227,402,155,223,378,158,202,360,14,6,20,6,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.P.T.-Bachelor of Physiotherapy,1265,2861,4126,922,2148,3070,779,1858,2637,759,1784,2543,381,768,1149,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.S.A.-Bachelor in Shipping Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.S.A.-Bachelor of System Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Sc.-Bachelor of Science,424674,404934,829608,276094,304045,580139,224472,252054,476526,2650,2366,5016,9,22,31,7,17,24,5,19,24,10,14,24
"B.Sc. B.Ed.-Bachelor of Science, Bachelor of Education",242,405,647,31,105,136,36,76,112,24,67,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Sc.(Hons)-Bachelor of Science (Honors),51204,39265,90469,33646,29706,63352,25064,23189,48253,45,76,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.Sc. L.L.B.-Bachelor of Science, Bachelor of Law or Laws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Sc.(Nursing)-Bachelor of Science in Nursing,4120,25172,29292,3714,22264,25978,2923,18627,21550,2936,16815,19751,3,69,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.S.Course-Bachelor of Science (Physician Assistant and Emergency and Trauma Care Management),333,579,912,229,493,722,167,344,511,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Sc.(Post Basic)-B.Sc (Post Basic),897,3689,4586,917,2791,3708,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
B.Sc.(Sericulture)-Bachelor of Science in Sericulture,69,78,147,17,29,46,14,22,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.S. M.S.-Bachelor of Science, Master of Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,88,262,350,68,261,329,55,205,260,57,164,221,48,139,187,33,44,77,NA,NA,NA,NA,NA,NA
